"","Metric","Value","std.err","lb","ub","p.val","Time"
"1",NA,NA,NA,NA,NA,NA,NA
"2","CI",1,0,NA,NA,1,0
"3","Synergy_score",0,0,NA,NA,1,0
"4","CI",0.930652602056385,0.0307151730572858,0.885568013734133,1.01739944194487,0.0221,3
"5","Synergy_score",6.63456947683615,3.0433928697878,-1.46394218666455,11.3313371063009,0.0221,3
"6","CI",0.86611426571432,0.0576297349491873,0.784273749289991,1.03537929147247,0.0221,6
"7","Synergy_score",12.2546089507155,5.6712698712415,-2.34013897849276,21.2632289570205,0.0221,6
"8","CI",0.806051495065188,0.0812269831222305,0.694623070634209,1.05430295736936,0.0221,9
"9","Synergy_score",16.9837725460573,7.95683637012825,-3.15668375569209,30.0442867770786,0.0221,9
"10","CI",0.750153921273857,0.101932148273,0.61521961324516,1.07370338627468,0.0221,12
"11","Synergy_score",20.9316200443165,9.96032694394237,-3.55715188170908,37.7109744076875,0.0221,12
"12","CI",0.698132698776315,0.120119579740766,0.544929222777838,1.09310532348685,0.0221,15
"13","Synergy_score",24.1951853464646,11.7311111557519,-3.41666756744148,44.6832481977245,0.0221,15
"14","CI",0.649719012696825,0.13611903721376,0.48289004544155,1.11320007630492,0.0221,18
"15","Synergy_score",26.8603719757212,13.3095118114227,-2.65898455328903,50.8715821064744,0.0221,18
"16","CI",0.604662689771805,0.150221202748689,0.427767372831828,1.13362050787122,0.0221,21
"17","Synergy_score",29.0031946258734,14.7283681613238,-2.20933346603376,56.4967133950149,0.0221,21
"18","CI",0.562730905602544,0.16268251240727,0.378972677736545,1.15412640679541,0.0221,24
"19","Synergy_score",30.6908836750595,16.014371565239,-2.03124868510165,62.0145646005325,0.0221,24
"20","CI",0.523706981556553,0.173729394052947,0.335872884365189,1.1762702515277,0.0221,27
"21","Synergy_score",31.9828677281516,17.1891980620353,-1.77504402618345,66.6166196706731,0.0221,27
"22","CI",0.487389265100702,0.183561986766484,0.297538569838831,1.1991920839372,0.0221,30
"23","Synergy_score",32.9316475977579,18.2704604278264,-1.39896262169354,70.9531846044404,0.0221,30
